Year,Country,City,Product,Quantity Sold,Sales Amount
2024,UK,Manchester,Smartwatch,3966,194705
2024,UK,Manchester,Headphones,2257,312544
2024,UK,Birmingham,Laptop,3069,333730
2024,UK,Birmingham,Smartphone,2007,276742
2024,UK,Birmingham,Tablet,4278,272789
2024,UK,Birmingham,Smartwatch,2548,400474
2024,UK,Birmingham,Headphones,4343,332006
2024,Germany,Berlin,Laptop,4915,74067
2024,Germany,Berlin,Smartphone,1317,338098
2024,Germany,Berlin,Tablet,4914,253080
2024,Germany,Berlin,Smartwatch,4260,279907
2024,Germany,Berlin,Headphones,1498,192476
2024,Germany,Munich,Laptop,3677,71970
2024,Germany,Munich,Smartphone,3515,155248
2024,Germany,Munich,Tablet,240,110650
2024,Germany,Munich,Smartwatch,2255,170039
2024,Germany,Munich,Headphones,878,255111
2024,Germany,Hamburg,Laptop,2878,462965
2024,Germany,Hamburg,Smartphone,2304,206068
2024,Germany,Hamburg,Tablet,4563,253062
2024,Germany,Hamburg,Smartwatch,4282,285089
2024,Germany,Hamburg,Headphones,2965,356032
